prijmeni	jmeno	id	pspcr	wiki	personal
Fraňková	Štěpánka	id_0153	http://www.psp.cz/sqw/detail.sqw?id=5912&o=6		
Fuksa	Ivan	id_0154	http://www.psp.cz/sqw/detail.sqw?id=5913&o=6	https://cs.wikipedia.org/wiki/Ivan_Fuksa	http://www.fuksa.cz/
Gabal	Ivan	id_0155	https://www.psp.cz/sqw/detail.sqw?id=6193	https://cs.wikipedia.org/wiki/Ivan_Gabal	https://twitter.com/ivan_gabal
Gabrhel	Vlastimil	id_0156	https://www.psp.cz/sqw/detail.sqw?id=6268		
Gandalovič	Petr	id_0157	http://www.psp.cz/sqw/detail.sqw?id=1296&o=6		
Gavlasová	Jana	id_0158	http://www.psp.cz/sqw/detail.sqw?o=2&id=212		
Gazdík	Petr	id_0159	https://www.psp.cz/sqw/detail.sqw?id=5914	https://cs.wikipedia.org/wiki/Petr_Gazd%C3%ADk_(politik)	http://www.gazdik.cz/#
Gjurič	Andrej	id_0160	http://www.psp.cz/sqw/detail.sqw?id=38&o=2		
Golasowská	Pavla	id_0161	https://www.psp.cz/sqw/detail.sqw?id=6292		
Gongol	Jaroslav	id_0162	http://www.psp.cz/sqw/detail.sqw?id=304&o=4		
Grebeníček	Miroslav	id_0163	https://www.psp.cz/sqw/detail.sqw?id=305	https://cs.wikipedia.org/wiki/Miroslav_Greben%C3%AD%C4%8Dek	
Grega	Andrej	id_0164	http://www.psp.cz/sqw/detail.sqw?id=362&o=4		
Gregora	Martin	id_0165	http://www.psp.cz/sqw/detail.sqw?id=5915&o=6		
Grégr	Miroslav	id_0166	http://www.psp.cz/sqw/detail.sqw?id=213&o=2	https://cs.wikipedia.org/wiki/Miroslav_Gr%C3%A9gr	
Grospič	Stanislav	id_0167	https://www.psp.cz/sqw/detail.sqw?id=4778		
Gross	Stanislav	id_0168	http://www.psp.cz/sqw/detail.sqw?id=39&o=4	https://cs.wikipedia.org/wiki/Stanislav_Gross	
Grulich	Václav	id_0169	http://www.psp.cz/sqw/detail.sqw?id=40&o=3		
Grüner	Václav	id_0170	http://www.psp.cz/sqw/detail.sqw?id=363&o=5		
Gruntová	Jitka	id_0171	http://www.psp.cz/sqw/detail.sqw?id=5293&o=4		
Grůza	Jan	id_0172	http://www.psp.cz/sqw/detail.sqw?id=333&o=5		
Hájek	Josef	id_0173	https://www.psp.cz/sqw/detail.sqw?id=6139		
Hájek	Petr	id_0174	http://www.psp.cz/sqw/detail.sqw?id=5021&o=5		
Halíková	Milada	id_0175	https://www.psp.cz/sqw/detail.sqw?id=5461		
Hamáček	Jan	id_0176	https://www.psp.cz/sqw/detail.sqw?id=5462	https://cs.wikipedia.org/wiki/Jan_Ham%C3%A1%C4%8Dek	https://twitter.com/jhamacek?lang=cs
Hamplová	Jana	id_0177	http://www.psp.cz/sqw/detail.sqw?o=4&id=5401	https://cs.wikipedia.org/wiki/Jana_Hamplov%C3%A1	http://www.hamplova.cz/
Hanačíková	Ivana	id_0178	http://www.psp.cz/sqw/detail.sqw?o=3&id=364		
Hanáková	Alena	id_0179	http://www.psp.cz/sqw/detail.sqw?id=5916&o=6		
Hanuš	Jiří	id_0180	http://www.psp.cz/sqw/detail.sqw?id=5291&o=4		
Hanuš	Václav	id_0181	http://www.psp.cz/sqw/detail.sqw?id=365&o=3		
Hasil	Tomáš	id_0182	http://www.psp.cz/sqw/detail.sqw?id=5285&o=5		
Hašek	Michal	id_0183	http://www.psp.cz/sqw/detail.sqw?id=5297&org=171	https://cs.wikipedia.org/wiki/Michal_Ha%C5%A1ek	https://www.facebook.com/michal.hasek.7
Hašková	Monika	id_0184	http://www.psp.cz/sqw/detail.sqw?id=5868&o=5		
Havíř	Pavel	id_0185	https://www.psp.cz/sqw/detail.sqw?id=6194		
Havlíček	Jiří	id_0186	http://psp.cz/sqw/detail.sqw?id=457&o=3	https://cs.wikipedia.org/wiki/Ji%C5%99%C3%AD_Havl%C3%AD%C4%8Dek_(politik_%C4%8CSSD)	
Havlová	Olga	id_0187	https://www.psp.cz/sqw/detail.sqw?id=6141		
Heger	Leoš	id_0188	https://www.psp.cz/sqw/detail.sqw?id=5917		
Herman	Daniel	id_0189	https://www.psp.cz/sqw/detail.sqw?id=6142	https://cs.wikipedia.org/wiki/Daniel_Herman	https://twitter.com/DanielDherman?lang=cs
Hink	Vladimír	id_0190	http://www.psp.cz/sqw/detail.sqw?id=5463&o=5		
Hnyková	Jana	id_0191	https://www.psp.cz/sqw/detail.sqw?id=6195		
